#::#!!I,TimeStamp::TimeStamp!!D,Markers::Markers,R3_DensMeanChannel0::R3_Fluo-4,R3_DensMeanChannel1::R3_F0,R3_Ratio::R3_Ratio values,R3_DensMeanChannel0BGCorr::R3_Fluo-4(-BG),R3_DensMeanChannel1BGCorr::R3_F0(-BG),R3_RatioBGCorr::R3_Ratio values (- BG),R2_DensMeanChannel0::R2_Fluo-4,R2_DensMeanChannel1::R2_F0,R2_Ratio::R2_Ratio values,R2_DensMeanChannel0BGCorr::R2_Fluo-4(-BG),R2_DensMeanChannel1BGCorr::R2_F0(-BG),R2_RatioBGCorr::R2_Ratio values (- BG),R1_DensMeanChannel0::R1_Fluo-4,R1_DensMeanChannel1::R1_F0,R1_Ratio::R1_Ratio values,R1_DensMeanChannel0BGCorr::R1_Fluo-4(-BG),R1_DensMeanChannel1BGCorr::R1_F0(-BG),R1_RatioBGCorr::R1_Ratio values (- BG)
,,,,,,,,,,,,,,,,,,,,
20,,,3003.876953,3090.330811,0.972024381,861.4154053,951.2999878,0.905513883,2667.943604,2732.387207,0.976414859,525.4821167,593.3565674,0.885609388,2360.754639,2351.641602,1.003875256,218.2931824,212.610733,1.026726961
21,,,3316.061523,3090.330811,1.073044181,1174.215332,951.2999878,1.234327078,2908.056396,2732.387207,1.064291358,766.2102051,593.3565674,1.29131496,2436.60376,2351.641602,1.036128879,294.7576294,212.610733,1.386372209
22,,,3496.161621,3090.330811,1.131322742,1353.023071,951.2999878,1.422288537,3015.436523,2732.387207,1.103590488,872.2981567,593.3565674,1.470107913,2417.13208,2351.641602,1.02784884,273.9936218,212.610733,1.288710117
23,,,3519.630859,3090.330811,1.138917208,1381.169189,951.2999878,1.451875567,3089.464844,2732.387207,1.130683303,951.0032349,593.3565674,1.602751732,2374.415039,2351.641602,1.009684086,235.9535522,212.610733,1.109791279
24,,,3501.046143,3090.330811,1.132903337,1358.584595,951.2999878,1.428134799,3127.323975,2732.387207,1.144538999,984.8624268,593.3565674,1.65981555,2348.226318,2351.641602,0.998547792,205.7648773,212.610733,0.967800975
25,,,3475.507813,3090.330811,1.124639392,1336.861572,951.2999878,1.405299664,3142.873291,2732.387207,1.150229812,1004.227112,593.3565674,1.692451358,2332.377441,2351.641602,0.991808236,193.7312012,212.610733,0.911201417
26,,,3419.038574,3090.330811,1.106366515,1284.084595,951.2999878,1.349820852,3113.577393,2732.387207,1.139508128,978.6235962,593.3565674,1.649301052,2316.830078,2351.641602,0.985197008,181.8763428,212.610733,0.855442882
27,,,3327.677002,3090.330811,1.07680285,1187.615356,951.2999878,1.248413086,3030.704346,2732.387207,1.109178066,890.6427002,593.3565674,1.501024485,2313.13208,2351.641602,0.983624458,173.0705414,212.610733,0.814025402
28,,,3239.707764,3090.330811,1.048336864,1099.030762,951.2999878,1.155293584,2933.802734,2732.387207,1.073714137,793.1259155,593.3565674,1.336676717,2308.754639,2351.641602,0.981763065,168.0777893,212.610733,0.790542364
29,,,3158.615479,3090.330811,1.022096157,1020.400024,951.2999878,1.072637439,2849.295654,2732.387207,1.042786241,711.0803833,593.3565674,1.198403239,2293.20752,2351.641602,0.975151837,154.992157,212.610733,0.728994966
